userCardNo,real_collection_date,category,img_url
R5LA935F,2025.8.8,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810071307_6a148539cf194d01a961ff0bf0a7b341.jpeg
LUUGZBF5,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810001400_0d35727166c343c2b2bfae1aa0c58311.jpeg
LUUGZBF5,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810001700_ef6aee6475054aa1a6e7077e9d5e7eb1.jpeg
LUUGZBF5,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810001700_9d936858e9854be8b642175a46839446.jpeg
LUUGZBF5,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810001800_b2182524a78042518a084d4cb244f226.jpeg
YZZ7MWRL,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810055905_c72976b2273a46b2ba10b8e24decb455.jpeg
YZZ7MWRL,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810060006_9de6cee0e66048ac94c0d97d49129c85.jpeg
YZZ7MWRL,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810060006_dc3bae9506114748b4586c6a5346db85.jpeg
YZZ7MWRL,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810060006_134a69098573421a8a9e959b7ff26599.jpeg
YZZ7MWRL,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810060106_cfc0e47bef6047c9b0a19d555909f578.jpeg
V7HCX6D0,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810011001_68f6a01b44074a1095f0c24fa1950637.jpeg
V7HCX6D0,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810011201_4c0986aa61db4cc58202d77fb514fbb0.jpeg
V7HCX6D0,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810011401_3cb0016b943642ef80c781b779312a0f.jpeg
V7HCX6D0,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810011501_9062b77bd05d4c4e9b4eeec7d1b29930.jpeg
V7HCX6D0,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810011901_bd61f5ddfd72440ab196256442bb3e1f.jpeg
V7HCX6D0,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810012001_fc85732483a54dbeadbe786523125fab.jpeg
W4JH9RHN,2025.8.9,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810002100_00e5d33902584553ab4333d81936b73d.jpeg
W4JH9RHN,2025.8.9,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250810002100_aa3c9c19afa2488e8a30f6b3048cd96e.jpeg
BUQT9RB3,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811162516_330df5404fb34430a104cdae5926f6ad.jpeg
GSHKANZM,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811065906_05fa5eafcee540a7be89fb5a71f3fa44.jpeg
GSHKANZM,2025.8.10,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811070007_b5f96bba40b34fc0bd0e7ebe098584c9.jpeg
NJ5SZABP,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811001800_cd383c17c8a24d54b29bec9e8fd3c41c.jpeg
CF4EXSN3,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811034903_ec50c73eedbd412d9392c194172e9272.jpeg
CF4EXSN3,2025.8.10,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811034803_f66fd91478c1443eab8b7b91c65212a2.jpeg
SSVQUE6Q,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811045304_7883f3ce4bc143fdbfeab957ebe649a6.jpeg
SSVQUE6Q,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811045504_e4d79e0c8b984fe0bee0745b80a52883.jpeg
SSVQUE6Q,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811045604_f20f3b7fc4da448ea5b6b4238ac374e8.jpeg
SSVQUE6Q,2025.8.10,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811045604_730f18b71d284388a3ceae182f34afda.jpeg
JC1PB4D0,2025.8.10,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811035303_b7498fe5ec16454289fd75b828522b31.jpeg
3MZWPFTC,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811073207_74a2b9662b514960814a69e31a99c6af.jpeg
